,name,equipment,number_of_classes
0,Р272,,2
1,РМ09,,3
2,Р210,,3
3,Р274,,3
4,Р309 - вежбе,,3
5,УУААВИ,,2
6,Р225 - вежбе,,2
7,О301,,2
8,Р392 - вежбе,,3
9,РМ02,,2
10,РМ11,,2
11,РМ11 - вежбе,,2
12,15-РМ05 - вежбе,,2
13,РМ04 - вежбе,,2
14,РМ16,,2
15,Р120 - вежбе,,2
16,УУПУ2,,2
17,Р225,,3
18,Р231 - вежбе,,3
19,Р313,,2
20,УУХЈВИ - вежбе,,2
21,П100,,3
22,РМ16 - вежбе,,2
23,РМ02 - вежбе,,3
24,15-РМ03 - вежбе,,2
25,П102,,3
26,Р265 - вежбе,,3
27,О21,,2
28,РМ15,,2
29,Р130,,3
30,Р269,,2
31,Р275 - вежбе,,3
32,УУДЗП,,1
33,Р240 - вежбе,,3
34,Р220 - вежбе,,2
35,Р269 - вежбе,,3
36,РМ15 - вежбе,,2
37,РМ13 - вежбе,,2
38,УУДЗП - вежбе,,2
39,Р241,,2
40,Р245 - вежбе,,3
41,М4.03 - вежбе,,2
42,Р270,,3
43,Р240,,2
44,РМ17,,2
45,Р310 - вежбе,,3
46,МФРИ,,2
47,ХФУПБ - вежбе,,2
48,МФРИ - вежбе,,3
49,РМ14,,2
50,МФАСП,,3
51,П103,,3
52,Р241 - вежбе,,3
53,Р246,,2
54,РМ04,,2
55,МФИП,,2
56,Р231,,2
57,Р292 - вежбе,,3
58,РМ01 - вежбе,,3
59,Р363,,2
60,Р210 - вежбе,,2
61,Р290,,2
62,МФУБИ - вежбе,,3
63,УУПУ1,,2
64,Р310,,2
65,Р312 - вежбе,,3
66,РМ13,,2
67,Р260 - вежбе,,2
68,15-РМ05,,2
69,РМ12 - вежбе,,2
70,РМ17 - вежбе,,2
71,Р255,,2
72,РМ14 - вежбе,,2
73,П103 - вежбе,,3
74,УУААВИКП,,2
75,РМ10 - вежбе,,2
76,П101 - вежбе,,3
77,П101,,3
78,УУПУ1 - вежбе,,3
79,П102 - вежбе,,2
80,nan - вежбе,,2
81,15-РМ06,,2
82,Р308,,2
83,РМ18 - вежбе,,2
84,МФИП - вежбе,,3
85,Р246 - вежбе,,3
86,Р308 - вежбе,,3
87,Р130 - вежбе,,2
88,Р392,,2
89,Р260,,3
90,РМ07,,2
91,ХФУПБ,,2
92,М4.03,,2
93,П100 - вежбе,,3
94,Р390,,2
95,О44,,2
96,Р347,,2
97,Р312,,2
98,Р274 - вежбе,,2
99,Р291,,2
100,Р291 - вежбе,,3
101,Р292,,2
102,Р255 - вежбе,,3
103,Р376,,2
104,РМ08 - вежбе,,2
105,Р332,,2
106,РМ10,,2
107,Р245,,2
108,УУПУ2 - вежбе,,4
109,Р363 - вежбе,,3
110,Р275,,2
111,Р390 - вежбе,,3
112,Р220,,3
113,Р313 - вежбе,,3
114,РМ01,,2
115,Р290 - вежбе,,3
116,РМ12,,2
117,МФМУ,,2
118,Р273,,2
119,Р265,,2
120,2РМЛМ1,,0
121,Р270 - вежбе,,2
122,Р273 - вежбе,,3
123,2РМЛ1 - вежбе,,2
124,РМ08,,2
125,Р306,,2
126,РМ09 - вежбе,,2
127,Р306 - вежбе,,3
128,О301 - вежбе,,3
129,Р376 - вежбе,,3
130,2РМЛМ1 - вежбе,,2
131,2РМЛ1,,3
132,УУААВИ - вежбе,,1
133,Р120,,3
134,О22,,2
135,МФМУ - вежбе,,3
136,РМ07 - вежбе,,2
137,О45,,2
138,МФАСП - вежбе,,2
139,nan - вежбе,,3
140,УУХЈВИ,,1
141,Р272 - вежбе,,3
142,15-РМ03,,2
143,Р309,,2
144,МФУБИ,,2
145,РМ18,,3
146,15-РМ06 - вежбе,,2
147,О12,,2
