,name,full_name
0,РМ18,Алгоритми и структуре података
1,МФМУ,Машинско учење
2,2РМЛМ1,Образовни софтвер са практикумом
3,УУХЈВИ - вежбе,HTML и Javascript за видео игре
4,П102,Објектно-оријентисано програмирање
5,Р210 - вежбе,Конструкција и анализа алгоритама
6,Р273 - вежбе,Пројектовање база података
7,Р309,Увод у биоинформатику
8,МФУБИ - вежбе,Увод у Биоинформатику
9,РМ14 - вежбе,Оперативни системи
10,Р225,Оперативни системи
11,РМ11 - вежбе,Компилација програмских језика
12,Р120 - вежбе,Увод у организацију и архитектуру рачунара 1
13,nan - вежбе,nan
14,ХФУПБ - вежбе,Увод у програмирање за биохемичаре
15,Р363,Машинско учење
16,Р332,Мрежно рачунарство
17,МФРИ - вежбе,Рачунарска интелигенција
18,ХФУПБ,Увод у програмирање за биохемичаре
19,15-РМ06 - вежбе,Методика наставе рачунарства Б
20,Р260,Вештачка интелигенција
21,П100,Програмирање 1
22,Р390 - вежбе,Развој софтвера 2
23,МФИП - вежбе,Истраживање података
24,УУПУ2 - вежбе,Програмирање за уметнике 2
25,РМ10,Лексичка анализа и примене
26,Р291,Програмирање за веб
27,О45,Техничко и научно писање
28,РМ09,Конструкција и анализа алгоритама
29,Р273,Пројектовање база података
30,Р308,Научно израчунавање
31,2РМЛ1,Методика наставе рачунарства 2
32,15-РМ05,Методика наставе рачунарства А
33,УУДЗП,Дигитални запис података
34,Р265,Увод у интерактивно доказивање теорема
35,Р390,Развој софтвера 2
36,Р269 - вежбе,Рачунарска интелигенција
37,Р120,Увод у организацију и архитектуру рачунара 1
38,Р246 - вежбе,Функционално програмирање
39,Р255 - вежбе,Рачунарска графика
40,Р290,Развој софтвера
41,Р308 - вежбе,Научно израчунавање
42,Р130 - вежбе,Увод у веб и интернет технологије
43,Р313 - вежбе,Геометријски алгоритми
44,Р220,Увод у организацију и архитектуру рачунара 2
45,Р392 - вежбе,Информациони системи
46,РМ02 - вежбе,Програмирање 2
47,Р272,Програмирање база података
48,Р347,Верификација софтвера
49,РМ07 - вежбе,Веб програмирање
50,РМ04 - вежбе,Објектно-оријентисано програмирање
51,Р270,Релационе базе података
52,УУПУ2,Програмирање за уметнике 2
53,Р291 - вежбе,Програмирање за веб
54,Р225 - вежбе,Оперативни системи
55,2РМЛ1 - вежбе,Методика наставе рачунарства 2
56,РМ14,Оперативни системи
57,РМ01,Програмирање 1
58,РМ10 - вежбе,Лексичка анализа и примене
59,П101 - вежбе,Програмирање 2
60,Р275 - вежбе,Истраживање података 2
61,15-РМ06,Методика наставе рачунарства Б
62,О12,Методологија стручног и научног рада
63,РМ11,Компилација програмских језика
64,Р292,Алати за развој софтвера
65,УУПУ1,Програмирање за уметнике 1
66,Р130,Увод у веб и интернет технологије
67,О21,Историја и филозофија рачунарства
68,Р245 - вежбе,Програмске парадигме
69,Р306 - вежбе,Аутоматско резоновање
70,УУААВИКП,Архитектура и алати за видео-игре – кратки програм
71,Р376,Истраживање података у биоинформатици
72,15-РМ05 - вежбе,Методика наставе рачунарства А
73,Р220 - вежбе,Увод у организацију и архитектуру рачунара 2
74,РМ15 - вежбе,Архитектура рачунара 1
75,РМ13,Увод у релационе базе података
76,Р210,Конструкција и анализа алгоритама
77,УУААВИ - вежбе,Архитектура и алати за видео игре
78,Р292 - вежбе,Алати за развој софтвера
79,РМ08,Дизајн програмских језика
80,РМ18 - вежбе,Алгоритми и структуре података
81,Р246,Функционално програмирање
82,РМ16,Програмирање база података
83,РМ07,Веб програмирање
84,РМ17,Рачунарске мреже
85,О301 - вежбе,ВЛСИ дизајн
86,Р272 - вежбе,Програмирање база података
87,Р310 - вежбе,Конструкција и анализа алгоритама 2
88,Р312,Криптографија
89,УУХЈВИ,HTML и Javascript за видео игре
90,Р275,Истраживање података 2
91,РМ17 - вежбе,Рачунарске мреже
92,МФАСП - вежбе,Алгоритми и структуре података
93,М4.03,Образовни софтвер
94,РМ16 - вежбе,Програмирање база података
95,Р245,Програмске парадигме
96,Р274 - вежбе,Истраживање података 1
97,Р274,Истраживање података 1
98,Р241,Конструкција компилатора
99,УУААВИ,Архитектура и алати за видео игре
100,О22,Рачунарство и друштво
101,УУПУ1 - вежбе,Програмирање за уметнике 1
102,15-РМ03,Увод у организацију и архитектуру рачунара 1
103,П102 - вежбе,Објектно-оријентисано програмирање
104,Р265 - вежбе,Увод у интерактивно доказивање теорема
105,П100 - вежбе,Програмирање 1
106,РМ12,Програмске парадигме
107,РМ09 - вежбе,Конструкција и анализа алгоритама
108,МФАСП,Алгоритми и структуре података
109,2РМЛМ1 - вежбе,Образовни софтвер са практикумом
110,Р270 - вежбе,Релационе базе података
111,Р241 - вежбе,Конструкција компилатора
112,Р310,Конструкција и анализа алгоритама 2
113,РМ02,Програмирање 2
114,РМ01 - вежбе,Програмирање 1
115,Р240,Превођење програмских језика
116,РМ08 - вежбе,Дизајн програмских језика
117,Р312 - вежбе,Криптографија
118,Р231 - вежбе,Рачунарске мреже
119,РМ04,Објектно-оријентисано програмирање
120,П101,Програмирање 2
121,РМ13 - вежбе,Увод у релационе базе података
122,МФРИ,Рачунарска интелигенција
123,П103,Алгоритми и структуре података
124,Р260 - вежбе,Вештачка интелигенција
125,Р240 - вежбе,Превођење програмских језика
126,МФМУ - вежбе,Машинско учење
127,О301,ВЛСИ дизајн
128,МФУБИ,Увод у Биоинформатику
129,РМ12 - вежбе,Програмске парадигме
130,О44,Зететика - критичко расуђивање
131,Р290 - вежбе,Развој софтвера
132,М4.03 - вежбе,Образовни софтвер
133,Р392,Информациони системи
134,Р306,Аутоматско резоновање
135,Р376 - вежбе,Истраживање података у биоинформатици
136,Р363 - вежбе,Машинско учење
137,15-РМ03 - вежбе,Увод у организацију и архитектуру рачунара 1
138,Р231,Рачунарске мреже
139,РМ15,Архитектура рачунара 1
140,Р309 - вежбе,Увод у биоинформатику
141,Р255,Рачунарска графика
142,Р313,Геометријски алгоритми
143,МФИП,Истраживање података
144,Р269,Рачунарска интелигенција
145,УУДЗП - вежбе,Дигитални запис података
146,П103 - вежбе,Алгоритми и структуре података
